time,baseline,rv,model_time,model,residuals
,-1.5798749003260957,,2459337.7558774967,-8.380656305613584,
,-1.5798749003260957,,2459338.504779502,-0.26965775526872576,
,-1.5798749003260957,,2459339.2536815065,8.280650192933434,
,-1.5798749003260957,,2459340.0025835116,5.2231588132187605,
,-1.5798749003260957,,2459340.751485517,-5.085868712155527,
,-1.5798749003260957,,2459341.5003875215,-8.296711780653428,
,-1.5798749003260957,,2459342.2492895266,0.022884523002987957,
,-1.5798749003260957,,2459342.9981915317,8.372827724201397,
,-1.5798749003260957,,2459343.7470935364,4.984785918805853,
,-1.5798749003260957,,2459344.4959955416,-5.318723264251871,
,-1.5798749003260957,,2459345.2448975467,-8.203560242804006,
,-1.5798749003260957,,2459345.993799552,0.31549463678077677,
,-1.5798749003260957,,2459346.7427015565,8.455560908049938,
,-1.5798749003260957,,2459347.4916035617,4.740900074145549,
,-1.5798749003260957,,2459348.240505567,-5.545635698065682,
,-1.5798749003260957,,2459348.9894075715,-8.101300768074738,
,-1.5798749003260957,,2459349.7383095766,0.6078439027468344,
,-1.5798749003260957,,2459350.487211582,8.528755278078934,
,-1.5798749003260957,,2459351.2361135865,4.49177887543522,
,-1.5798749003260957,,2459351.9850155916,-5.7663588593132085,
,-1.5798749003260957,,2459352.7339175967,-7.990042353097736,
,-1.5798749003260957,,2459353.482819602,0.899603544416864,
,-1.5798749003260957,,2459354.2317216066,8.592327439715602,
,-1.5798749003260957,,2459354.9806236117,4.237705474417471,
,-1.5798749003260957,,2459355.729525617,-5.980652515796965,
,-1.5798749003260957,,2459356.4784276215,-7.869903823984054,
,-1.5798749003260957,,2459357.2273296267,1.1904450207682256,
,-1.5798749003260957,,2459357.976231632,8.6462051834028,
,-1.5798749003260957,,2459358.7251336365,3.978968269468587,
,-1.5798749003260957,,2459359.4740356416,-6.18828353021352,
,-1.5798749003260957,,2459360.222937647,-7.741013713892218,
,-1.5798749003260957,,2459360.971839652,1.480040438792809,
,-1.5798749003260957,,2459361.7207416566,8.690327553921103,
,-1.5798749003260957,,2459362.4696436618,3.715860526938998,
,-1.5798749003260957,,2459363.218545667,-6.389026144169844,
,-1.5798749003260957,,2459363.9674476716,-7.603510164536513,
,-1.5798749003260957,,2459364.7163496767,1.7680629055343018,
,-1.5798749003260957,,2459365.465251682,8.724644938947353,
,-1.5798749003260957,,2459366.2141536865,3.4486800898282253,
,-1.5798749003260957,,2459366.9630556917,-6.582662168733216,
,-1.5798749003260957,,2459367.711957697,-7.457540766228405,
,-1.5798749003260957,,2459368.460859702,2.0541869419502397,
,-1.5798749003260957,,2459369.2097617066,8.749119113944138,
,-1.5798749003260957,,2459369.958663712,3.177728972589533,
,-1.5798749003260957,,2459370.707565717,-6.768981234134902,
,-1.5798749003260957,,2459371.4564677216,-7.303262461844486,
,-1.5798749003260957,,2459372.2053697268,2.338088809069126,
,-1.5798749003260957,,2459372.954271732,8.763723292789479,
,-1.5798749003260957,,2459373.7031737366,2.903313058389557,
,-1.5798749003260957,,2459374.4520757417,-6.947780958272792,
,-1.5798749003260957,,2459375.200977747,-7.140841358290427,
,-1.5798749003260957,,2459375.949879752,2.619446961494426,
,-1.5798749003260957,,2459376.6987817567,8.768442147057632,
,-1.5798749003260957,,2459377.447683762,2.625741686106188,
,-1.5798749003260957,,2459378.196585767,-7.1188671873584255,
,-1.5798749003260957,,2459378.9454877716,-6.970452592272573,
,-1.5798749003260957,,2459379.694389777,2.8979423527111057,
,-1.5798749003260957,,2459380.443291782,8.763271824507216,
,-1.5798749003260957,,2459381.192193787,2.345327357120292,
,-1.5798749003260957,,2459381.9410957918,-7.282054158571045,
,-1.5798749003260957,,2459382.689997797,-6.792280151484523,
,-1.5798749003260957,,2459383.438899802,3.173258878537806,
,-1.5798749003260957,,2459384.1878018067,8.748219945009534,
,-1.5798749003260957,,2459384.936703812,2.062385324117493,
,-1.5798749003260957,,2459385.685605817,-7.437164711753949,
,-1.5798749003260957,,2459386.4345078217,-6.606516705099229,
,-1.5798749003260957,,2459387.183409827,3.445083680842324,
,-1.5798749003260957,,2459387.932311832,8.723305581598858,
,-1.5798749003260957,,2459388.681213837,1.7772332497166543,
,-1.5798749003260957,,2459389.430115842,-7.584030427524138,
,-1.5798749003260957,,2459390.179017847,-6.4133634083202695,
,-1.5798749003260957,,2459390.927919852,3.7131075982128547,
,-1.5798749003260957,,2459391.6768218568,8.688559232980863,
,-1.5798749003260957,,2459392.425723862,1.4901908653618148,
,-1.5798749003260957,,2459393.174625867,-7.722491837857592,
,-1.5798749003260957,,2459393.9235278717,-6.2130297193300486,
,-1.5798749003260957,,2459394.672429877,3.9770254656366726,
,-1.5798749003260957,,2459395.421331882,8.644022771324368,
,-1.5798749003260957,,2459396.170233887,1.2015795623973458,
,-1.5798749003260957,,2459396.919135892,-7.852398548721597,
,-1.5798749003260957,,2459397.668037897,-6.005733170203372,
,-1.5798749003260957,,2459398.416939902,4.236536538030695,
,-1.5798749003260957,,2459399.165841907,8.589749388175498,
,-1.5798749003260957,,2459399.914743912,0.9117220773120694,
,-1.5798749003260957,,2459400.663645917,-7.9736094098519725,
,-1.5798749003260957,,2459401.4125479218,-5.791699174780652,
,-1.5798749003260957,,2459402.161449927,4.491344815168264,
,-1.5798749003260957,,2459402.910351932,8.525803514099584,
,-1.5798749003260957,,2459403.659253937,0.6209420896629712,
,-1.5798749003260957,,2459404.408155942,-8.085992645449585,
,-1.5798749003260957,,2459405.157057947,-5.571160790067511,
,-1.5798749003260957,,2459405.905959952,4.741159412517766,
,-1.5798749003260957,,2459406.654861957,8.452260730650233,
,-1.5798749003260957,,2459407.403763962,0.32956391606234436,
,-1.5798749003260957,,2459408.152665967,-8.189425993541132,
,-1.5798749003260957,,2459408.901567972,-5.344358492832982,
,-1.5798749003260957,,2459409.650469977,4.985694914332326,
,-1.5798749003260957,,2459410.399371982,8.369207666909563,
,-1.5798749003260957,,2459411.148273987,0.037912075603324144,
,-1.5798749003260957,,2459411.897175992,-8.283796811333012,
,-1.5798749003260957,,2459412.646077997,-5.111539926912332,
,-1.5798749003260957,,2459413.394980002,5.224671726715014,
,-1.5798749003260957,,2459414.143882007,8.276741886771994,
,-1.5798749003260957,,2459414.892784012,-0.2536889926217858,
,-1.5798749003260957,,2459415.641686017,-8.369002216415744,
,-1.5798749003260957,,2459416.390588022,-4.872959668436194,
,-1.5798749003260957,,2459417.139490027,5.457816407534365,
,-1.5798749003260957,,2459417.888392032,8.174971745242035,
,-1.5798749003260957,,2459418.6372940373,-0.5449153401031271,
,-1.5798749003260957,,2459419.386196042,-8.444949161270536,
,-1.5798749003260957,,2459420.135098047,-4.62887893267588,
,-1.5798749003260957,,2459420.884000052,5.684862017700176,
,-1.5798749003260957,,2459421.632902057,8.064016261588092,
,-1.5798749003260957,,2459422.381804062,-0.8354438281029055,
,-1.5798749003260957,,2459423.130706067,-8.51155454892618,
,-1.5798749003260957,,2459423.8796080723,-4.379565344917835,
